file, hardcoded-secret, empty-password, use of http, improper ip address binding, suspicious comment, no-integrity-check, total
script-320.yaml, 0, 0, 0, 0, 0, 0, 0
script-270.yaml, 0, 0, 0, 0, 0, 0, 0
script-924.yaml, 1, 0, 0, 0, 0, 0, 1
script-62.yaml, 0, 0, 0, 0, 0, 0, 0
script-319.yaml, 0, 0, 0, 0, 0, 0, 0
script-770.yaml, 1, 0, 0, 0, 0, 0, 1
script-1046.yaml, 0, 0, 0, 0, 0, 0, 0
script-883.yaml, 0, 0, 0, 0, 0, 0, 0
script-18.yaml, 0, 0, 0, 0, 0, 0, 0
script-117.yaml, 7, 1, 0, 0, 0, 0, 8
script-554.yaml, 0, 0, 0, 0, 0, 0, 0
script-775.yaml, 0, 0, 0, 0, 0, 0, 0
script-719.yaml, 0, 0, 0, 0, 0, 0, 0
script-929.yaml, 1, 0, 0, 0, 0, 0, 1
script-356.yaml, 0, 0, 0, 0, 0, 0, 0
script-686.yaml, 0, 0, 0, 0, 0, 0, 0
script-1093.yaml, 0, 0, 0, 0, 0, 0, 0
script-583.yaml, 0, 0, 0, 0, 1, 0, 1
script-547.yaml, 0, 0, 0, 0, 0, 0, 0
script-7.yaml, 0, 0, 0, 0, 0, 0, 0
script-391.yaml, 0, 0, 0, 0, 0, 0, 0
script-813.yaml, 0, 0, 0, 0, 0, 0, 0
script-393.yaml, 0, 0, 0, 0, 0, 0, 0
script-504.yaml, 0, 0, 0, 0, 0, 0, 0
script-38.yaml, 0, 0, 0, 0, 0, 0, 0
script-722.yaml, 0, 0, 0, 0, 0, 0, 0
script-401.yaml, 0, 0, 0, 0, 0, 0, 0
script-548.yaml, 0, 0, 0, 0, 0, 0, 0
script-551.yaml, 0, 0, 0, 0, 1, 0, 1
script-718.yaml, 0, 0, 0, 0, 0, 0, 0
script-771.yaml, 1, 0, 0, 0, 0, 0, 1
script-1076.yaml, 0, 0, 0, 0, 0, 0, 0
script-680.yaml, 0, 0, 0, 0, 0, 0, 0
script-642.yaml, 0, 0, 0, 0, 0, 0, 0
script-945.yaml, 0, 0, 0, 0, 0, 0, 0
script-464.yaml, 0, 0, 0, 0, 0, 0, 0
script-805.yaml, 0, 0, 0, 0, 0, 0, 0
script-355.yaml, 0, 0, 0, 0, 0, 0, 0
script-823.yaml, 0, 0, 0, 0, 0, 0, 0
script-66.yaml, 0, 0, 0, 0, 0, 0, 0
script-445.yaml, 0, 0, 0, 0, 0, 0, 0
script-14.yaml, 0, 0, 0, 0, 0, 0, 0
script-1029.yaml, 0, 0, 0, 0, 0, 0, 0
script-779.yaml, 1, 0, 0, 0, 0, 0, 1
script-864.yaml, 0, 0, 0, 0, 0, 0, 0
script-860.yaml, 1, 0, 0, 0, 0, 0, 1
script-382.yaml, 0, 0, 0, 0, 0, 0, 0
script-693.yaml, 0, 0, 0, 0, 0, 0, 0
script-575.yaml, 0, 0, 0, 0, 0, 0, 0
script-740.yaml, 0, 0, 0, 0, 0, 0, 0
script-881.yaml, 0, 0, 0, 0, 0, 0, 0
script-242.yaml, 0, 0, 0, 0, 0, 0, 0
script-166.yaml, 0, 0, 0, 0, 0, 0, 0
script-985.yaml, 0, 0, 0, 0, 0, 0, 0
script-313.yaml, 0, 0, 0, 0, 0, 0, 0
script-664.yaml, 0, 0, 0, 0, 0, 0, 0
script-88.yaml, 0, 0, 0, 0, 0, 0, 0
script-710.yaml, 1, 0, 8, 0, 0, 0, 9
script-848.yaml, 0, 0, 0, 0, 0, 0, 0
script-406.yaml, 0, 0, 0, 0, 0, 0, 0
script-992.yaml, 0, 0, 0, 0, 0, 0, 0
script-594.yaml, 0, 0, 0, 0, 1, 0, 1
script-818.yaml, 0, 0, 0, 0, 0, 0, 0
script-619.yaml, 3, 0, 0, 0, 0, 0, 3
script-477.yaml, 0, 0, 0, 0, 0, 0, 0
script-458.yaml, 0, 0, 0, 0, 0, 0, 0
script-1057.yaml, 0, 0, 0, 0, 0, 0, 0
script-1081.yaml, 0, 0, 0, 0, 0, 0, 0
script-175.yaml, 1, 0, 0, 0, 0, 0, 1
script-73.yaml, 0, 0, 0, 0, 0, 0, 0
script-98.yaml, 0, 0, 0, 0, 0, 0, 0
script-5.yaml, 0, 0, 0, 0, 0, 0, 0
script-888.yaml, 1, 0, 0, 0, 0, 0, 1
script-927.yaml, 1, 0, 0, 0, 0, 0, 1
script-1058.yaml, 0, 0, 0, 0, 0, 0, 0
script-858.yaml, 0, 0, 0, 0, 0, 0, 0
