MONTH,REPO_DIR,FILE_NAME,HARD_CODE_SECR,EMPT_PASS,HTTP_USAG,BIND_USAG,SUSP_COMM,INTE_CHCK,HARD_CODE_UNAME,HARD_CODE_PASS,TOTAL
2019-7,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@ansible-role-container-registry/handlers,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@ansible-role-container-registry/handlers/main.yml,0, 0, 1, 0, 1, 0, 0, 0, 2
2019-7,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@ansible-role-container-registry/defaults,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@ansible-role-container-registry/defaults/main.yml,1, 0, 0, 0, 0, 0, 1, 0, 2
2019-7,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@ansible-role-container-registry/tasks,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@ansible-role-container-registry/tasks/docker.yml,0, 0, 0, 0, 1, 0, 0, 0, 1
2019-7,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@ansible-role-container-registry/tasks,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@ansible-role-container-registry/tasks/main.yml,0, 0, 0, 0, 0, 0, 0, 0, 0
2019-7,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@ansible-role-container-registry/tasks,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@ansible-role-container-registry/tasks/docker-distribution.yml,0, 0, 0, 0, 0, 0, 0, 0, 0
2019-7,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@ansible-role-container-registry/tasks,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@ansible-role-container-registry/tasks/docker-login.yml,0, 0, 0, 0, 0, 0, 0, 0, 0
2019-7,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@ansible-role-container-registry/tasks,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@ansible-role-container-registry/tasks/docker-update.yml,0, 0, 0, 0, 0, 0, 0, 0, 0
2019-7,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@ansible-role-container-registry/meta,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@ansible-role-container-registry/meta/main.yml,0, 0, 0, 0, 0, 0, 0, 0, 0
2019-7,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@ansible-role-container-registry/vars,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@ansible-role-container-registry/vars/main.yml,0, 0, 0, 0, 0, 0, 0, 0, 0
2019-7,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@ansible-role-container-registry/zuul.d/playbooks,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@ansible-role-container-registry/zuul.d/playbooks/run-local.yml,0, 0, 0, 0, 0, 0, 0, 0, 0
